Algorithm,Ray Count,Time(ms),Avg Checks,Avg Error
3D Ray Casting,100,8.89179999649059,105.36,0.37800000000011236
3D DDA,100,1.3558999926317483,14.74,369.63601780096803
3D Ray Casting,300,24.24060000339523,96.53666666666666,0.4086666666667349
3D DDA,300,3.7287000013748184,13.913333333333334,391.10151624422684
3D Ray Casting,500,43.8125999935437,96.232,0.41519999999999646
3D DDA,500,6.132099995738827,14.064,391.0159400112167
3D Ray Casting,1000,110.5494999937946,99.129,0.4128000000000456
3D DDA,1000,12.350299992249347,14.306,386.7926202037396
3D Ray Casting,2000,184.51780000759754,97.9225,0.42690000000001965
3D DDA,2000,39.87310000229627,14.137,389.96634956382104
