Algorithm,Ray Count,Time(ms),Avg Checks,Avg Error(px)
Ray Casting,100,13.079900003504008,160.45,0.5010000000006749
DDA,100,0.3163999936077744,4.14,11.693906131812994
Ray Casting,300,55.598799997824244,159.28,0.46933333333401267
DDA,300,0.847200004500337,4.173333333333333,9.94798705093807
Ray Casting,500,97.67989999090787,159.478,0.4872000000006714
DDA,500,1.5220000059343874,4.178,10.132836580186963
Ray Casting,1000,116.67689999740105,159.318,0.4860000000006845
DDA,1000,3.8108000007923692,4.18,9.929104132910696
Ray Casting,2000,248.98239999311045,159.3965,0.48470000000070557
DDA,2000,5.548800007090904,4.1815,9.966561443283334
