Scenario,GRID_SIZE,VOXEL,Ray Count,World Size,Time(ms),Avg Checks,Avg Error,Hit Success Rate(%)
Basic Indoor Space,20,10,100,200,133.1425000098534,395.78,56.221865658566394,50.0
Basic Indoor Space,20,10,300,200,311.34000001475215,350.89666666666665,36.47189074531346,48.333333333333336
Basic Indoor Space,20,10,500,200,506.0088000027463,374.142,51.021810260520894,48.6
Basic Indoor Space,20,10,1000,200,1225.582899991423,360.761,55.68950888237942,43.1
Basic Indoor Space,20,10,2000,200,2391.2472000229172,375.4435,51.84567904331552,48.199999999999996
High Load Space,20,10,1000,200,1244.5232999743894,362.482,50.08096214312151,46.800000000000004
High Load Space,20,10,3000,200,5992.223399982322,373.80833333333334,54.70516483267127,46.1
High Load Space,20,10,5000,200,12891.830699983984,366.987,53.45090074901612,46.08
High Load Space,20,10,10000,200,12031.280499999411,363.2239,48.64355679249418,47.510000000000005
Low Memory Space,10,20,100,200,193.74700001208112,593.32,4.025153333181619,67.0
Low Memory Space,10,20,300,200,449.0226000198163,519.51,3.61748493528218,57.333333333333336
Low Memory Space,10,20,500,200,799.9843000434339,519.276,6.110880968194776,52.6
Low Memory Space,10,20,1000,200,2839.3826999817975,534.944,5.199315026667636,57.3
Low Memory Space,10,20,2000,200,5502.431400003843,546.6165,5.11809867068688,57.599999999999994
High Precision Space,40,5,100,200,84.00269999401644,168.96,29.68913817727467,52.0
High Precision Space,40,5,300,200,350.522099994123,174.17666666666668,38.95173957287801,50.33333333333333
High Precision Space,40,5,500,200,467.7733999560587,176.06,47.48924552516099,46.400000000000006
High Precision Space,40,5,1000,200,876.8711999873631,168.721,39.009493360318544,44.800000000000004
High Precision Space,40,5,2000,200,2169.372500036843,173.914,45.675514198421325,46.0
Extreme Space,40,5,1000,200,556.2222999869846,176.604,44.66926133078909,47.199999999999996
Extreme Space,40,5,3000,200,1982.5564000057057,174.542,45.940037272708295,45.86666666666667
Extreme Space,40,5,5000,200,2920.7541999639943,178.1738,46.97931522794707,47.56
Extreme Space,40,5,10000,200,5847.487599996384,180.4514,48.61710600633501,47.18
